Date : 2019-11-10 18:11:59
Directory : d:\Unity\Project\Shooting Game
Total : 229 files,  25078 codes, 1498 comments, 3867 blanks, all 30443 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C#         |        202 |     20,068 |      1,135 |      3,614 |     24,817 |
| ShaderLab  |         20 |      2,678 |        339 |        222 |      3,239 |
| XML        |          3 |      2,185 |         21 |          3 |      2,209 |
| Markdown   |          1 |         53 |          0 |         20 |         73 |
| JSON       |          1 |         41 |          0 |          1 |         42 |
| Log        |          1 |         41 |          0 |          4 |         45 |
| Properties |          1 |         12 |          3 |          3 |         18 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                         |        229 |     25,078 |      1,498 |      3,867 |     30,443 |
| Assets                                                                                                                                    |        222 |     22,746 |      1,474 |      3,836 |     28,056 |
| Assets\Scripts                                                                                                                            |        168 |     13,671 |        198 |      2,269 |     16,138 |
| Assets\Scripts\Enemies                                                                                                                    |         82 |      6,811 |         20 |      1,044 |      7,875 |
| Assets\Scripts\Enemies\Boss                                                                                                               |         27 |      3,582 |          4 |        496 |      4,082 |
| Assets\Asset Stores                                                                                                                       |         31 |      3,532 |        328 |        694 |      4,554 |
| Assets\Asset Stores\Explosions                                                                                                            |         27 |      3,155 |        285 |        601 |      4,041 |
| Assets\Plugins\AssetUsageDetector\Editor                                                                                                  |          7 |      2,556 |        199 |        606 |      3,361 |
| Assets\Plugins\AssetUsageDetector                                                                                                         |          7 |      2,556 |        199 |        606 |      3,361 |
| Assets\Plugins                                                                                                                            |          7 |      2,556 |        199 |        606 |      3,361 |
| Assets\Asset Stores\Explosions\WarFX                                                                                                      |         26 |      1,896 |        170 |        379 |      2,445 |
| Assets\Scripts\Managers                                                                                                                   |         12 |      1,871 |         68 |        292 |      2,231 |
| Assets\Terrains                                                                                                                           |          5 |      1,525 |        236 |         69 |      1,830 |
| Assets\Terrains\Tree\Trees_WorldSpace                                                                                                     |          4 |      1,401 |        227 |         37 |      1,665 |
| Assets\Terrains\Tree                                                                                                                      |          4 |      1,401 |        227 |         37 |      1,665 |
| Assets\Scripts\Abstract Class                                                                                                             |          8 |      1,308 |         38 |        228 |      1,574 |
| Assets\Scripts\UI Handlers                                                                                                                |         22 |      1,263 |         10 |        234 |      1,507 |
| Assets\Asset Stores\Explosions\Cartoon FX Easy Editor\Editor                                                                              |          1 |      1,259 |        115 |        222 |      1,596 |
| Assets\Asset Stores\Explosions\Cartoon FX Easy Editor                                                                                     |          1 |      1,259 |        115 |        222 |      1,596 |
| Assets\Scripts\Player                                                                                                                     |         18 |      1,098 |         15 |        211 |      1,324 |
| Assets\Terrains\Tree\Trees_WorldSpace\Misc\Obselete_canDelete\ShaderForgeDepricated\Depricated_canDelete                                  |          2 |      1,067 |         32 |         23 |      1,122 |
| Assets\Terrains\Tree\Trees_WorldSpace\Misc\Obselete_canDelete\ShaderForgeDepricated                                                       |          2 |      1,067 |         32 |         23 |      1,122 |
| Assets\Terrains\Tree\Trees_WorldSpace\Misc\Obselete_canDelete                                                                             |          2 |      1,067 |         32 |         23 |      1,122 |
| Assets\Terrains\Tree\Trees_WorldSpace\Misc                                                                                                |          2 |      1,067 |         32 |         23 |      1,122 |
| Assets\Demigiant\DOTween\Modules                                                                                                          |          7 |      1,040 |        457 |        185 |      1,682 |
| Assets\Demigiant\DOTween                                                                                                                  |          7 |      1,040 |        457 |        185 |      1,682 |
| Assets\Demigiant                                                                                                                          |          7 |      1,040 |        457 |        185 |      1,682 |
| Assets\Asset Stores\Explosions\WarFX\Shaders                                                                                              |         11 |        731 |         47 |        140 |        918 |
| Assets\Asset Stores\Explosions\WarFX\Demo\Assets                                                                                          |          9 |        695 |         48 |        142 |        885 |
| Assets\Asset Stores\Explosions\WarFX\Demo                                                                                                 |          9 |        695 |         48 |        142 |        885 |
| Assets\Shaders                                                                                                                            |          4 |        422 |         56 |         13 |        491 |
| Assets\Terrains\Tree\Trees_WorldSpace\Shaders                                                                                             |          2 |        334 |        195 |         14 |        543 |
| Assets\Asset Stores\ScifiRTSSeriesMegaPackII\Scripts                                                                                      |          2 |        260 |         16 |         36 |        312 |
| Assets\Asset Stores\ScifiRTSSeriesMegaPackII                                                                                              |          2 |        260 |         16 |         36 |        312 |
| Assets\Scripts\Preview                                                                                                                    |          7 |        236 |          2 |         50 |        288 |
